#Wave,F444W
#micron,el/phot
2.578149585000000243e+00,3.246412241305314502e-06
2.579500816000000363e+00,3.013290814504642265e-06
2.580852048000000121e+00,2.884661851620160561e-06
2.582203278999999796e+00,3.068268347937067015e-06
2.583554510999999998e+00,2.876175958421890930e-06
2.584905742000000117e+00,2.749949461629611747e-06
2.586256973999999875e+00,2.599742167549193330e-06
2.587608204999999995e+00,2.599695978492813391e-06
2.588959437000000197e+00,2.368095230798094869e-06
2.590310667999999872e+00,2.395250458869687086e-06
2.591661898999999991e+00,2.532572815173419269e-06
2.593013131000000193e+00,2.405129882056145406e-06
2.594364361999999868e+00,2.236204343145086213e-06
2.595715593999999626e+00,2.055900539542101963e-06
2.597066824999999746e+00,1.771743736941459712e-06
2.598418056999999948e+00,1.596459512794005687e-06
2.599769288000000067e+00,1.546078749810888145e-06
2.601120519000000186e+00,1.705331261841818619e-06
2.602471750999999944e+00,1.767517851997405940e-06
2.603822982000000064e+00,1.698771610489670251e-06
2.605174214000000266e+00,2.074811269088688723e-06
2.606525445000000385e+00,2.300189708510583789e-06
2.607876677000000143e+00,2.425435385009992057e-06
2.609227907999999818e+00,2.539052118410279170e-06
2.610579140000000020e+00,2.745946892453539235e-06
2.611930371000000140e+00,2.675592936490582479e-06
2.613281601999999815e+00,2.316499077517106531e-06
2.614632834000000017e+00,2.226598341563487196e-06
2.615984065000000136e+00,1.750194749955914902e-06
2.617335296999999894e+00,1.662143672921393294e-06
2.618686528000000013e+00,1.596152824474206349e-06
2.620037760000000215e+00,1.499494670112509416e-06
2.621388990999999891e+00,1.505770741717751266e-06
2.622740222000000010e+00,1.359882576271206820e-06
2.624091453999999768e+00,1.286017392306638248e-06
2.625442684999999887e+00,1.289717183128234948e-06
2.626793917000000089e+00,1.558613213753970457e-06
2.628145148000000209e+00,1.523081531256784707e-06
2.629496379999999967e+00,1.509899995187673513e-06
2.630847611000000086e+00,1.652541387861461679e-06
2.632198843000000288e+00,1.639387119377652071e-06
2.633550074000000407e+00,1.822133290034216473e-06
2.634901305000000082e+00,1.976516959806079592e-06
2.636252536999999840e+00,1.815753998448070517e-06
2.637603767999999960e+00,1.619519487790706081e-06
2.638954999999999718e+00,1.858246085283029117e-06
2.640306230999999837e+00,1.892583576556383781e-06
2.641657463000000039e+00,1.665468806322238551e-06
2.643008694000000158e+00,1.648831029224616834e-06
2.644359925000000278e+00,1.534218162949814135e-06
2.645711157000000036e+00,1.489533422669201130e-06
2.647062387999999711e+00,1.655776452353766290e-06
2.648413619999999913e+00,1.757581617692188583e-06
2.649764851000000032e+00,1.680816767145026027e-06
2.651116082999999790e+00,1.674688292627979131e-06
2.652467313999999909e+00,1.685233336331932507e-06
2.653818546000000111e+00,1.703087978445587038e-06
2.655169777000000231e+00,1.872504478769976252e-06
2.656521008000000350e+00,1.993220915151203415e-06
2.657872240000000108e+00,2.208473221033024822e-06
2.659223470999999783e+00,2.216970466434578223e-06
2.660574703000000429e+00,2.272322563853906237e-06
2.661925933999999661e+00,2.721735281045538291e-06
2.663277165999999863e+00,3.306242438488208397e-06
2.664628396999999982e+00,3.415944050058502979e-06
2.665979628999999740e+00,3.028600788716615285e-06
2.667330859999999859e+00,2.885174936968620350e-06
2.668682090999999978e+00,2.483046268922855424e-06
2.670033323000000181e+00,2.228657942173976807e-06
2.671384554000000300e+00,2.048185563756504154e-06
2.672735786000000058e+00,2.061247647914284398e-06
2.674087016999999733e+00,1.511146997137308634e-06
2.675438248999999935e+00,1.142161343483771333e-06
2.676789480000000054e+00,1.106995787680570449e-06
2.678140711000000174e+00,1.128979675945353965e-06
2.679491942999999932e+00,1.405778578360383041e-06
2.680843174000000051e+00,1.661594409846618375e-06
2.682194406000000253e+00,1.647443239911245175e-06
2.683545637000000372e+00,1.077411876938670411e-06
2.684896869000000130e+00,1.037009561553039076e-06
2.686248099999999805e+00,1.092620325843180073e-06
2.687599331999999563e+00,1.204820207607263775e-06
2.688950562999999683e+00,1.222658010570420890e-06
2.690301793999999802e+00,1.023155392224812045e-06
2.691653026000000004e+00,8.067194978871882798e-07
2.693004257000000123e+00,6.370986539053840856e-07
2.694355488999999881e+00,6.329562473232957630e-07
2.695706720000000001e+00,7.950998868468715108e-07
2.697057952000000203e+00,9.203828203401460373e-07
2.698409183000000322e+00,9.211112928160305312e-07
2.699760413999999997e+00,7.997796799135294069e-07
2.701111645999999755e+00,8.806882779580497739e-07
2.702462876999999875e+00,1.095506631475704664e-06
2.703814109000000077e+00,1.450530883606829471e-06
2.705165340000000196e+00,1.589254042509459525e-06
2.706516571999999954e+00,1.484523478982177661e-06
2.707867803000000073e+00,1.509087147998122181e-06
2.709219035000000275e+00,1.519598290206038613e-06
2.710570266000000395e+00,1.655887372985371039e-06
2.711921496999999626e+00,1.684452536385591751e-06
2.713272728999999828e+00,1.430333843732465747e-06
2.714623959999999947e+00,1.149685036043187152e-06
2.715975191999999705e+00,1.005861347294794622e-06
2.717326422999999824e+00,9.705904266818219978e-07
2.718677655000000026e+00,8.193637432358949947e-07
2.720028886000000146e+00,9.684352001525384712e-07
2.721380117000000265e+00,9.779536873312665649e-07
2.722731349000000023e+00,8.622347306249202269e-07
2.724082579999999698e+00,1.009179326253422283e-06
2.725433812000000344e+00,1.148152577257684044e-06
2.726785043000000019e+00,1.318796980855720998e-06
2.728136274999999777e+00,1.409701351878719134e-06
2.729487505999999897e+00,1.529093243562769379e-06
2.730838738000000099e+00,1.364210349308509258e-06
2.732189969000000218e+00,1.228280424336778275e-06
2.733541200000000337e+00,1.166702928207413823e-06
2.734892432000000095e+00,1.363480068505160351e-06
2.736243663000000215e+00,1.296066505732461059e-06
2.737594894999999973e+00,1.247301236338261697e-06
2.738946125999999648e+00,1.190156782441877803e-06
2.740297357999999850e+00,1.139388696566654581e-06
2.741648588999999969e+00,1.167673602128257322e-06
2.742999820999999727e+00,1.376081394453614200e-06
2.744351051999999846e+00,1.762391599734082769e-06
2.745702282999999966e+00,1.464220806870729942e-06
2.747053515000000168e+00,1.402712128080847477e-06
2.748404746000000287e+00,1.327774512228394910e-06
2.749755978000000045e+00,1.272524490397732365e-06
2.751107208999999720e+00,1.246060514470906419e-06
2.752458441000000366e+00,1.247586567860725451e-06
2.753809672000000042e+00,1.072567489280616958e-06
2.755160903000000161e+00,8.365718428559046555e-07
2.756512134999999919e+00,8.050074857917991620e-07
2.757863366000000038e+00,8.057899195929280808e-07
2.759214598000000240e+00,7.234026993548941814e-07
2.760565828999999916e+00,7.122669007918518635e-07
2.761917061000000118e+00,7.238508999218602004e-07
2.763268292000000237e+00,7.451975071139353929e-07
2.764619523999999995e+00,8.755380353781782238e-07
2.765970754999999670e+00,9.185778089348100716e-07
2.767321985999999789e+00,1.084274328116316878e-06
2.768673217999999991e+00,1.041848344117448268e-06
2.770024449000000111e+00,1.246886267949979560e-06
2.771375680999999869e+00,1.527990685523538157e-06
2.772726911999999988e+00,1.592724831979946167e-06
2.774078144000000190e+00,1.633757302949609954e-06
2.775429375000000309e+00,1.455512002291682146e-06
2.776780605999999985e+00,1.246166694141212588e-06
2.778131837999999743e+00,1.155269691603718748e-06
2.779483068999999862e+00,1.374143922151161481e-06
2.780834301000000064e+00,1.408124852183689322e-06
2.782185532000000183e+00,1.178935126946447082e-06
2.783536763999999941e+00,1.032989207166899818e-06
2.784887995000000060e+00,1.041800903849220110e-06
2.786239226999999818e+00,1.298670557357140620e-06
2.787590457999999938e+00,1.550620222805722206e-06
2.788941689000000057e+00,1.490424842656549494e-06
2.790292921000000259e+00,1.245334362484435390e-06
2.791644151999999934e+00,1.090857464129064396e-06
2.792995383999999692e+00,1.125082942395736537e-06
2.794346614999999812e+00,1.090655505307577833e-06
2.795697847000000014e+00,8.740843419675666620e-07
2.797049078000000133e+00,6.115000803711012961e-07
2.798400309000000252e+00,7.094869089566352943e-07
2.799751541000000010e+00,8.647965312561995979e-07
2.801102772000000130e+00,9.746651554596372202e-07
2.802454004000000332e+00,1.072586343331121504e-06
2.803805235000000007e+00,1.114989556358690433e-06
2.805156466999999765e+00,1.194633226862918203e-06
2.806507697999999884e+00,1.278287736278268203e-06
2.807858930000000086e+00,1.413602091472476851e-06
2.809210160999999761e+00,1.288423221567564462e-06
2.810561391999999881e+00,1.290989603175142363e-06
2.811912624000000083e+00,1.386730636956179027e-06
2.813263855000000202e+00,1.473711366364182780e-06
2.814615086999999960e+00,1.470355444290817839e-06
2.815966317999999635e+00,1.540284994714484450e-06
2.817317550000000281e+00,1.681414785807083551e-06
2.818668780999999957e+00,1.506243266669923343e-06
2.820020012999999715e+00,1.336654261346038840e-06
2.821371243999999834e+00,1.307104710856337482e-06
2.822722474999999953e+00,1.241212598505090017e-06
2.824073707000000155e+00,9.672509916922131425e-07
2.825424938000000274e+00,9.311774765267669381e-07
2.826776170000000032e+00,9.755911469297951511e-07
2.828127401000000152e+00,7.882867231556248845e-07
2.829478633000000354e+00,8.575168462988444062e-07
2.830829864000000029e+00,8.478459999854108706e-07
2.832181094999999704e+00,6.635776507566904402e-07
2.833532326999999906e+00,7.605877933562400856e-07
2.834883558000000026e+00,8.688071694764961707e-07
2.836234789999999784e+00,7.445572678819749923e-07
2.837586020999999903e+00,5.465479680830673776e-07
2.838937253000000105e+00,5.440606129142697468e-07
2.840288484000000224e+00,5.291402776641778414e-07
2.841639715999999982e+00,5.730998725770192011e-07
2.842990946999999657e+00,7.614717509713988217e-07
2.844342177999999777e+00,5.716319241288975914e-07
2.845693409999999979e+00,5.555492512761650913e-07
2.847044641000000098e+00,7.376562725236104946e-07
2.848395872999999856e+00,9.537996225267411856e-07
2.849747103999999975e+00,1.061307803035962415e-06
2.851098336000000177e+00,1.079263057359398530e-06
2.852449567000000297e+00,9.878800767353417404e-07
2.853800798000000416e+00,8.041015372751648178e-07
2.855152030000000174e+00,8.288169471612149031e-07
2.856503260999999849e+00,7.588400610060022811e-07
2.857854492999999607e+00,6.423579359969302136e-07
2.859205723999999726e+00,4.607539089821802120e-07
2.860556955999999929e+00,3.556132491001956591e-07
